datetime,posts,following,followers
2024-11-16T21:35:07.149555,10310,1501,32881
2024-11-16T21:36:20.155018,10310,1501,32885
2024-11-16T21:37:39.404652,10310,1501,32887
2024-11-16T21:39:11.134687,10310,1501,32891
2024-11-16T21:40:20.958344,10310,1501,32892
2024-11-16T21:41:30.952017,10310,1501,32896
2024-11-16T21:42:41.740364,10310,1501,32897
2024-11-16T21:43:51.266020,10311,1501,32899
2024-11-16T21:45:12.483805,10311,1501,32902
2024-11-16T21:47:00.058937,10311,1501,32903
2024-11-16T21:48:10.565840,10311,1501,32908
2024-11-16T21:49:20.495795,10311,1501,32908
2024-11-16T21:50:29.533881,10311,1501,32910
2024-11-16T21:51:38.666425,10311,1501,32913
2024-11-16T21:52:48.176972,10311,1501,32916
2024-11-16T21:53:57.307561,10311,1501,32918
2024-11-16T21:55:07.142512,10311,1501,32921
2024-11-16T21:56:17.466730,10311,1501,32922
2024-11-16T21:57:27.899339,10311,1501,32921
2024-11-16T21:58:37.510082,10311,1501,32922
2024-11-16T21:59:46.784140,10311,1501,32927
2024-11-16T22:00:55.862709,10311,1501,32929
2024-11-16T22:02:05.707782,10311,1501,32931
2024-11-16T22:03:15.243471,10311,1501,32932
2024-11-16T22:04:24.649980,10311,1501,32933
2024-11-16T22:05:34.140719,10311,1501,32934
2024-11-16T22:06:43.224289,10311,1501,32938
2024-11-16T22:08:01.254650,10311,1501,32938
2024-11-16T22:09:12.531985,10311,1501,32938
2024-11-16T22:10:22.094685,10311,1501,32940
2024-11-16T22:11:31.175781,10311,1501,32942
2024-11-16T22:12:40.139572,10311,1501,32944
2024-11-16T22:13:49.281438,10311,1501,32945
2024-11-16T22:14:58.416142,10311,1501,32946
2024-11-16T22:16:07.407973,10311,1501,32949
2024-11-16T22:17:16.519134,10311,1501,32949
2024-11-16T22:18:25.659545,10311,1501,32953
2024-11-16T22:19:34.606438,10311,1501,32955
2024-11-16T22:20:43.870025,10311,1501,32956
2024-11-16T22:21:52.844795,10311,1501,32957
2024-11-16T22:23:02.069443,10311,1501,32960
2024-11-16T22:24:11.410519,10311,1501,32961
2024-11-16T22:25:20.631047,10311,1501,32962
2024-11-16T22:26:30.250811,10311,1501,32964
2024-11-16T22:27:39.380687,10311,1501,32970
2024-11-16T22:28:48.695293,10311,1501,32970
2024-11-16T22:29:57.756168,10311,1501,32974
2024-11-16T22:31:07.303218,10311,1501,32977
2024-11-16T22:32:16.897605,10311,1501,32979
